  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
1,   P-16181,   2021/04/30 10:53:12,           1-01,1,-8.469,-74.756,16817,-1,1,                                        ,                                        ,                 H2O,1619801899,0.332,0.789,121.407,0.001,0.001,2.923,1305.269,1.084,2.585,102.383,0.861,-0.097,0,0,1,44.75,1,1,1, GJB_Rinse,0
2,   P-16181,   2021/04/30 11:02:09,           1-01,2,-7.608,-64.4,18391,-1,1,                                        ,                                        ,                 H2O,1619802436,0.299,0.746,121.575,0,0,2.888,1333.946,1.263,2.901,111.924,0.862,0.259,0,0,1,44.25,1,1,1, GJB_Rinse,0
3,   P-16181,   2021/04/30 11:11:05,           1-01,3,-7.557,-62.526,18356,-1,1,                                        ,                                        ,                 H2O,1619802972,0.336,0.75,118.743,0.001,0.003,2.809,1337.833,0.508,2.947,113.144,0.865,0.543,0,0,1,44,1,1,1, GJB_Rinse,0
4,   P-16181,   2021/04/30 11:20:02,           1-01,4,-7.399,-61.25,18415,0,1,                                        ,                                        ,                 H2O,1619803508,0.365,0.751,120.026,0.001,0,2.839,1330.519,1.611,2.923,111.531,0.87,0.346,0,0,1,43.938,1,1,1, GJB_Rinse,0
5,   P-16181,   2021/04/30 11:28:58,           1-01,5,-7.451,-61.587,18382,0,1,                                        ,                                        ,                 H2O,1619804045,0.299,0.769,117.849,0,0.005,2.803,1330.579,1.445,2.893,111.762,0.865,0.366,0,0,1,43.875,1,1,1, GJB_Rinse,0
6,   P-16181,   2021/04/30 11:37:55,           1-01,6,-7.468,-61.234,18372,0,1,                                        ,                                        ,                 H2O,1619804581,0.32,0.793,117.695,0.001,0.002,2.776,1323.669,1.552,2.942,111.549,0.863,0.079,0,0,1,43.875,1,1,1, GJB_Rinse,0
7,   P-16181,   2021/04/30 11:46:51,           1-01,7,-7.427,-60.97,18392,0,1,                                        ,                                        ,                 H2O,1619805118,0.306,0.743,118.533,0,0.006,2.801,1322.356,1.351,2.97,113.446,0.862,0.52,0,0,1,43.938,1,1,1, GJB_Rinse,0
8,   P-16181,   2021/04/30 11:55:47,           1-01,8,-7.379,-60.725,18274,0,1,                                        ,                                        ,                 H2O,1619805653,0.315,0.677,113.233,0,-0.001,2.686,1319.315,1.544,2.854,111.157,0.863,0.161,0,0,1,44,1,1,1, GJB_Rinse,0
9,   P-16181,   2021/04/30 12:04:44,           1-01,9,-7.413,-60.586,18167,0,1,                                        ,                                        ,                 H2O,1619806190,0.332,0.728,113.418,0,0,2.7,1315.46,1.547,2.858,109.631,0.864,0.054,0,0,1,44,1,1,1, GJB_Rinse,0
10,   P-16181,   2021/04/30 12:13:40,           1-01,10,-7.357,-60.63,18341,0,1,                                        ,                                        ,                 H2O,1619806727,0.343,0.737,111.393,0,0.001,2.655,1313.962,2.015,2.91,111.867,0.863,0.397,0,0,1,44.062,1,1,1, GJB_Rinse,0
11,   P-16182,   2021/04/30 12:23:28,           1-02,1,3.633,23.068,18960,-1,1,                                        ,                                        ,                 H2O,1619807314,0.376,0.854,115.835,-0.003,-0.012,2.741,1307.223,1.728,3.07,115.494,0.865,0.232,0,0,1,44.125,1,2,1, GJB_Rinse,0
12,   P-16182,   2021/04/30 12:32:25,           1-02,2,4.537,34.079,18778,-1,1,                                        ,                                        ,                 H2O,1619807851,0.296,0.848,113.1,-0.001,-0.011,2.679,1309.758,1.745,3.009,114.864,0.864,0.206,0,0,1,44.25,1,2,1, GJB_Rinse,0
13,   P-16182,   2021/04/30 12:41:21,           1-02,3,4.672,36.418,18582,-1,1,                                        ,                                        ,                 H2O,1619808388,0.299,0.698,115.439,0,-0.002,2.746,1306.968,1.325,2.968,114.107,0.861,0.116,0,0,1,44.188,1,2,1, GJB_Rinse,0
14,   P-16182,   2021/04/30 12:50:18,           1-02,4,4.792,37.82,17929,0,1,                                        ,                                        ,                 H2O,1619808925,0.328,0.794,114.014,0,-0.006,2.708,1301.065,1.807,2.904,109.909,0.867,0.327,0,0,1,44.188,1,2,1, GJB_Rinse,0
15,   P-16182,   2021/04/30 12:59:15,           1-02,5,4.837,38.522,18118,0,1,                                        ,                                        ,                 H2O,1619809461,0.342,0.822,109.378,-0.002,-0.006,2.624,1301.958,1.508,2.906,110.878,0.868,0.144,0,0,1,44.125,1,2,1, GJB_Rinse,0
16,   P-16182,   2021/04/30 13:08:12,           1-02,6,4.795,38.873,18259,0,1,                                        ,                                        ,                 H2O,1619809998,0.289,0.764,113.696,0.001,0.002,2.692,1301.882,1.102,2.97,113.799,0.865,0.462,0,0,1,44.062,1,2,1, GJB_Rinse,0
17,   P-16182,   2021/04/30 13:17:09,           1-02,7,4.919,39.378,18207,0,1,                                        ,                                        ,                 H2O,1619810535,0.312,0.801,111.218,0.001,0.002,2.633,1300.921,1.698,2.93,111.874,0.864,0.224,0,0,1,44.062,1,2,1, GJB_Rinse,0
18,   P-16182,   2021/04/30 13:26:06,           1-02,8,4.922,39.795,18188,0,1,                                        ,                                        ,                 H2O,1619811072,0.29,0.78,109.132,-0.001,0,2.599,1300.22,1.871,2.963,111.814,0.864,0.259,0,0,1,44.062,1,2,1, GJB_Rinse,0
19,   P-16182,   2021/04/30 13:35:03,           1-02,9,4.964,40.053,18431,0,1,                                        ,                                        ,                 H2O,1619811609,0.333,0.729,113.624,0.001,0.004,2.693,1301.9,1.948,2.948,112.199,0.864,0.18,0,0,1,44.062,1,2,1, GJB_Rinse,0
20,   P-16182,   2021/04/30 13:44:01,           1-02,10,4.964,40.131,18194,0,1,                                        ,                                        ,                 H2O,1619812148,0.285,0.707,110.812,0,0.002,2.622,1300.157,1.576,2.963,111.99,0.864,0.234,0,0,1,44.125,1,2,1, GJB_Rinse,0
21,   P-16183,   2021/04/30 13:53:50,           1-03,1,-11.124,-84.398,17684,-1,1,                                        ,                                        ,                 H2O,1619812736,0.306,1.103,108.431,0.002,0.02,2.589,1295.418,2.404,2.84,108.724,0.862,0.452,0,0,1,44.125,1,3,1, GJB_Rinse,0
22,   P-16183,   2021/04/30 14:02:47,           1-03,2,-12.546,-102.112,18249,-1,1,                                        ,                                        ,                 H2O,1619813273,0.314,0.951,109.732,0,0.015,2.605,1299.926,2.755,2.904,110.586,0.862,0.245,0,0,1,44.125,1,3,1, GJB_Rinse,0
23,   P-16183,   2021/04/30 14:11:43,           1-03,3,-12.833,-106.716,18205,-1,1,                                        ,                                        ,                 H2O,1619813810,0.283,0.925,110.852,0.001,0.012,2.638,1299.522,2.594,2.821,110.775,0.865,0.38,0,0,1,44.125,1,3,1, GJB_Rinse,0
24,   P-16183,   2021/04/30 14:20:40,           1-03,4,-12.97,-108.942,18235,0,1,                                        ,                                        ,                 H2O,1619814346,0.293,0.869,111.353,0,0.012,2.646,1299.561,3.073,2.861,110.398,0.861,0.378,0,0,1,44.125,1,3,1, GJB_Rinse,0
25,   P-16183,   2021/04/30 14:29:36,           1-03,5,-12.986,-109.67,18004,0,1,                                        ,                                        ,                 H2O,1619814882,0.305,0.861,111.369,0.001,0.006,2.641,1297.956,2.053,2.897,111.7,0.863,0.592,0,0,1,44.188,1,3,1, GJB_Rinse,0
26,   P-16183,   2021/04/30 14:38:32,           1-03,6,-13.115,-110.562,18032,0,1,                                        ,                                        ,                 H2O,1619815419,0.334,0.897,111.979,0.002,0.012,2.661,1298.232,2.677,2.824,109.625,0.861,0.226,0,0,1,44.125,1,3,1, GJB_Rinse,0
27,   P-16183,   2021/04/30 14:47:29,           1-03,7,-13.165,-110.929,18044,0,1,                                        ,                                        ,                 H2O,1619815955,0.262,0.766,108.986,0.001,0.009,2.589,1298.106,2.399,2.842,110.529,0.862,0.348,0,0,1,44.188,1,3,1, GJB_Rinse,0
28,   P-16183,   2021/04/30 14:56:25,           1-03,8,-13.155,-111.305,18057,0,1,                                        ,                                        ,                 H2O,1619816492,0.329,0.886,111.738,0.002,0.013,2.659,1298.201,2.345,2.873,110.612,0.86,0.34,0,0,1,44.125,1,3,1, GJB_Rinse,0
29,   P-16183,   2021/04/30 15:05:22,           1-03,9,-13.163,-111.013,18544,0,1,                                        ,                                        ,                 H2O,1619817028,0.279,0.768,110.375,0,0.009,2.621,1301.655,3.217,2.869,111.093,0.862,0.057,0,0,1,44.188,1,3,1, GJB_Rinse,0
30,   P-16183,   2021/04/30 15:14:18,           1-03,10,-13.082,-111.27,18205,0,1,                                        ,                                        ,                 H2O,1619817564,0.321,0.772,111.309,0.001,0.004,2.643,1299.09,3.038,2.847,110.535,0.862,0.337,0,0,1,44.188,1,3,1, GJB_Rinse,0
31,   P-16184,   2021/04/30 15:24:07,           1-04,1,-7.986,-68.959,17767,-1,1,                                        ,                                        ,                 H2O,1619818153,0.331,0.708,106.479,-0.001,-0.003,2.534,1295.704,2.847,2.851,108.739,0.86,0.451,0,0,1,44.25,1,4,1, GJB_Rinse,0
32,   P-16184,   2021/04/30 15:33:04,           1-04,2,-7.606,-63.213,18010,-1,1,                                        ,                                        ,                 H2O,1619818690,0.291,0.742,106.829,0.001,0.002,2.552,1297.831,2.658,2.818,109.009,0.862,0.288,0,0,1,44.25,1,4,1, GJB_Rinse,0
33,   P-16184,   2021/04/30 15:42:00,           1-04,3,-7.393,-61.263,18224,-1,1,                                        ,                                        ,                 H2O,1619819226,0.337,0.75,108.677,0,0.002,2.581,1299.383,2.594,2.838,110.607,0.862,0.31,0,0,1,44.25,1,4,1, GJB_Rinse,0
34,   P-16184,   2021/04/30 15:50:57,           1-04,4,-7.408,-60.767,18361,0,1,                                        ,                                        ,                 H2O,1619819763,0.324,0.752,110.143,0,0,2.619,1300.071,2.422,2.982,113.047,0.861,0.484,0,0,1,44.25,1,4,1, GJB_Rinse,0
35,   P-16184,   2021/04/30 15:59:54,           1-04,5,-7.499,-61.197,17587,0,1,                                        ,                                        ,                 H2O,1619820301,0.326,0.764,107.691,0.001,0.006,2.561,1294.848,2.257,2.773,106.839,0.86,0.125,0,0,1,44.312,1,4,1, GJB_Rinse,0
36,   P-16184,   2021/04/30 16:08:51,           1-04,6,-7.407,-60.296,18092,0,1,                                        ,                                        ,                 H2O,1619820838,0.292,0.715,108.146,0,0.002,2.578,1298.402,2.561,2.853,109.824,0.864,0.256,0,0,1,44.375,1,4,1, GJB_Rinse,0
37,   P-16184,   2021/04/30 16:17:48,           1-04,7,-7.346,-60.167,18118,0,1,                                        ,                                        ,                 H2O,1619821374,0.303,0.764,108.999,-0.001,0.001,2.586,1298.967,1.906,2.829,110.044,0.863,0.098,0,0,1,44.375,1,4,1, GJB_Rinse,0
38,   P-16184,   2021/04/30 16:26:45,           1-04,8,-7.333,-60.239,18004,0,1,                                        ,                                        ,                 H2O,1619821911,0.322,0.744,108.87,0,0.002,2.595,1297.79,2.244,2.874,110.697,0.858,0.376,0,0,1,44.375,1,4,1, GJB_Rinse,0
