  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-18696,   2022/01/07 10:56:50,           1-01,       1,        -9.850,       -75.296,         13455,      -1,    1,                                        ,                                        ,                 H2O, 1641578515.00,         0.209,         0.826,        68.959,         0.001,         0.003,         1.695,       110.706,        30.566,         2.262,        66.448,         0.856,        -1.155,        0.0000,        0.0000,    1,        45.312,         1,       1,       1, GJB_Rinse,       0
     2,   P-18696,   2022/01/07 11:05:45,           1-01,       2,        -9.306,       -70.206,         12998,      -1,    1,                                        ,                                        ,                 H2O, 1641579051.03,         0.205,         0.726,        61.226,         0.000,        -0.002,         1.507,       105.569,        29.827,         2.206,        65.064,         0.856,        -1.120,       -0.0000,       -0.0000,    1,        44.375,         1,       1,       1, GJB_Rinse,       0
     3,   P-18696,   2022/01/07 11:14:42,           1-01,       3,        -9.290,       -69.612,         13865,      -1,    1,                                        ,                                        ,                 H2O, 1641579587.23,         0.194,         0.768,        58.539,        -0.000,        -0.001,         1.424,       129.721,        31.400,         2.350,        68.543,         0.857,        -1.197,       -0.0000,       -0.0000,    1,        44.000,         1,       1,       1, GJB_Rinse,       0
     4,   P-18696,   2022/01/07 11:23:38,           1-01,       4,        -9.123,       -68.392,         12890,       0,    1,                                        ,                                        ,                 H2O, 1641580123.39,         0.207,         0.762,        60.082,         0.000,         0.000,         1.470,        97.634,        29.838,         2.190,        64.452,         0.856,        -0.956,       -0.0000,       -0.0000,    1,        43.875,         1,       1,       1, GJB_Rinse,       0
     5,   P-18696,   2022/01/07 11:32:35,           1-01,       5,        -9.117,       -68.040,         13046,       0,    1,                                        ,                                        ,                 H2O, 1641580660.20,         0.201,         0.820,        58.790,        -0.000,        -0.003,         1.443,        89.742,        30.460,         2.221,        64.962,         0.856,        -1.095,       -0.0000,       -0.0000,    1,        43.688,         1,       1,       1, GJB_Rinse,       0
     6,   P-18696,   2022/01/07 11:41:31,           1-01,       6,        -8.678,       -66.923,         13089,       0,    1,                                        ,                                        ,                 H2O, 1641581196.28,         0.209,         0.786,        64.234,         0.001,        -0.002,         1.578,        83.997,        30.386,         2.218,        66.429,         0.856,        -1.052,       -0.0000,       -0.0000,    1,        43.500,         1,       1,       1, GJB_Rinse,       0
     7,   P-18696,   2022/01/07 11:50:27,           1-01,       7,        -8.989,       -67.386,         12955,       0,    1,                                        ,                                        ,                 H2O, 1641581732.87,         0.200,         0.741,        57.146,         0.000,        -0.001,         1.404,        81.283,        29.989,         2.193,        66.741,         0.856,        -0.925,       -0.0000,       -0.0000,    1,        43.312,         1,       1,       1, GJB_Rinse,       0
     8,   P-18696,   2022/01/07 11:59:24,           1-01,       8,        -9.065,       -67.561,         12906,       0,    1,                                        ,                                        ,                 H2O, 1641582269.37,         0.165,         0.720,        62.267,         0.001,        -0.001,         1.536,        79.614,        30.044,         2.191,        66.092,         0.857,        -0.940,        0.0000,        0.0000,    1,        43.188,         1,       1,       1, GJB_Rinse,       0
     9,   P-18696,   2022/01/07 12:08:21,           1-01,       9,        -9.023,       -67.427,         12889,       0,    1,                                        ,                                        ,                 H2O, 1641582806.55,         0.220,         0.809,        57.980,        -0.000,         0.000,         1.417,        78.908,        29.848,         2.182,        66.431,         0.855,        -0.953,       -0.0000,       -0.0000,    1,        43.125,         1,       1,       1, GJB_Rinse,       0
    10,   P-18696,   2022/01/07 12:17:17,           1-01,      10,        -9.037,       -67.285,         12870,       0,    1,                                        ,                                        ,                 H2O, 1641583342.57,         0.178,         0.809,        60.734,         0.000,         0.001,         1.491,        78.518,        30.123,         2.183,        65.829,         0.856,        -0.937,        0.0000,        0.0000,    1,        43.125,         1,       1,       1, GJB_Rinse,       0
