  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-20702,   2022/04/06 11:28:46,           1-01,       1,        -7.737,       -66.004,         19310,      -1,    1,                                        ,                                        ,                 H2O, 1649266432.75,         0.324,         0.715,        79.656,         0.001,         0.004,         1.896,      1318.716,         1.789,         3.098,       117.780,         0.880,         0.337,        0.0000,        0.0000,    1,        47.312,         1,       1,       1, GJB_Rinse,       0
     2,   P-20702,   2022/04/06 11:37:43,           1-01,       2,        -7.622,       -62.072,         18616,      -1,    1,                                        ,                                        ,                 H2O, 1649266969.53,         0.311,         0.689,        76.335,         0.000,         0.001,         1.814,      1336.794,         0.693,         2.978,       114.055,         0.875,         0.326,        0.0000,        0.0000,    1,        46.625,         1,       1,       1, GJB_Rinse,       0
     3,   P-20702,   2022/04/06 11:46:40,           1-01,       3,        -7.532,       -61.049,         18761,      -1,    1,                                        ,                                        ,                 H2O, 1649267507.18,         0.322,         0.832,        74.023,         0.001,        -0.002,         1.768,      1337.666,         2.077,         2.852,       110.392,         0.891,        -0.198,       -0.0000,       -0.0000,    1,        46.375,         1,       1,       1, GJB_Rinse,       0
     4,   P-20702,   2022/04/06 11:55:37,           1-01,       4,        -7.526,       -60.748,         18304,       0,    1,                                        ,                                        ,                 H2O, 1649268043.27,         0.282,         0.714,        74.774,         0.000,         0.001,         1.775,      1331.237,         1.112,         2.937,       112.013,         0.882,         0.432,        0.0000,        0.0000,    1,        46.250,         1,       1,       1, GJB_Rinse,       0
     5,   P-20702,   2022/04/06 12:04:33,           1-01,       5,        -7.517,       -60.451,         18270,       0,    1,                                        ,                                        ,                 H2O, 1649268580.12,         0.325,         0.682,        75.104,        -0.000,         0.002,         1.793,      1325.163,         0.743,         2.924,       111.029,         0.878,         0.147,       -0.0000,       -0.0000,    1,        46.250,         1,       1,       1, GJB_Rinse,       0
     6,   P-20702,   2022/04/06 12:13:30,           1-01,       6,        -7.462,       -60.321,         18262,       0,    1,                                        ,                                        ,                 H2O, 1649269115.90,         0.291,         0.765,        73.938,         0.000,         0.002,         1.764,      1323.740,         1.074,         2.872,       110.441,         0.882,         0.251,        0.0000,        0.0000,    1,        46.188,         1,       1,       1, GJB_Rinse,       0
     7,   P-20702,   2022/04/06 12:22:27,           1-01,       7,        -7.472,       -59.862,         18524,       0,    1,                                        ,                                        ,                 H2O, 1649269653.24,         0.294,         0.790,        74.182,         0.000,         0.000,         1.771,      1322.784,         0.832,         2.977,       113.906,         0.877,         0.653,       -0.0000,       -0.0000,    1,        46.250,         1,       1,       1, GJB_Rinse,       0
     8,   P-20702,   2022/04/06 12:31:22,           1-01,       8,        -7.517,       -59.902,         18502,       0,    1,                                        ,                                        ,                 H2O, 1649270188.96,         0.313,         0.747,        73.355,         0.002,         0.002,         1.734,      1319.738,         1.572,         2.954,       111.907,         0.875,         0.213,        0.0000,        0.0000,    1,        46.250,         1,       1,       1, GJB_Rinse,       0
     9,   P-20702,   2022/04/06 12:40:19,           1-01,       9,        -7.449,       -59.790,         18532,       0,    1,                                        ,                                        ,                 H2O, 1649270725.00,         0.290,         0.708,        73.970,         0.001,         0.003,         1.752,      1317.747,         1.493,         2.924,       112.851,         0.873,         0.276,       -0.0000,       -0.0000,    1,        46.125,         1,       1,       1, GJB_Rinse,       0
    10,   P-20702,   2022/04/06 12:49:16,           1-01,      10,        -7.416,       -59.824,         18666,       0,    1,                                        ,                                        ,                 H2O, 1649271262.48,         0.288,         0.697,        70.095,         0.001,         0.002,         1.677,      1319.404,         1.303,         2.977,       114.390,         0.891,         0.487,       -0.0000,       -0.0000,    1,        46.125,         1,       1,       1, GJB_Rinse,       0
