  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
1,   P-20972,   2022/05/04 10:54:54,           1-01,1,-7.952,-67.674,20281,-1,1,                                        ,                                        ,                 H2O,1651683601,0.305,0.697,91.654,0.001,0.002,2.177,1335.625,1.242,3.318,124.412,0.887,0.487,0,0,1,44.062,1,1,1, GJB_Rinse,0
2,   P-20972,   2022/05/04 11:03:51,           1-01,2,-7.536,-62.029,19060,-1,1,                                        ,                                        ,                 H2O,1651684138,0.313,0.738,84.621,0.001,-0.002,2.017,1343.077,0.78,3.038,116.964,0.878,0.572,0,0,1,43.75,1,1,1, GJB_Rinse,0
3,   P-20972,   2022/05/04 11:12:47,           1-01,3,-7.484,-61.04,18967,-1,1,                                        ,                                        ,                 H2O,1651684674,0.32,0.799,80.861,-0.001,-0.002,1.922,1332.854,0.872,3.039,116.525,0.88,0.431,0,0,1,43.75,1,1,1, GJB_Rinse,0
4,   P-20972,   2022/05/04 11:21:44,           1-01,4,-7.528,-60.56,18914,0,1,                                        ,                                        ,                 H2O,1651685210,0.323,0.739,80.659,0.001,-0.003,1.919,1331.203,1.064,3.033,116.354,0.881,0.59,0,0,1,43.688,1,1,1, GJB_Rinse,0
5,   P-20972,   2022/05/04 11:30:41,           1-01,5,-7.448,-60.078,19041,0,1,                                        ,                                        ,                 H2O,1651685747,0.298,0.693,78.434,0.001,0.001,1.855,1330.505,0.902,3.053,116.761,0.88,0.465,0,0,1,43.625,1,1,1, GJB_Rinse,0
6,   P-20972,   2022/05/04 11:39:38,           1-01,6,-7.451,-60.014,18937,0,1,                                        ,                                        ,                 H2O,1651686285,0.299,0.731,79.905,0,0.001,1.901,1327.683,1.622,3.057,115.933,0.88,0.627,0,0,1,43.562,1,1,1, GJB_Rinse,0
7,   P-20972,   2022/05/04 11:48:35,           1-01,7,-7.507,-60.058,18963,0,1,                                        ,                                        ,                 H2O,1651686822,0.315,0.804,76.774,0.001,-0.001,1.814,1324.895,1.332,2.986,115.209,0.88,0.193,0,0,1,43.5,1,1,1, GJB_Rinse,0
8,   P-20972,   2022/05/04 11:57:33,           1-01,8,-7.446,-59.878,18995,0,1,                                        ,                                        ,                 H2O,1651687360,0.328,0.756,77.038,0.001,0.001,1.817,1323.012,1.446,3.03,116.671,0.876,0.564,0,0,1,43.375,1,1,1, GJB_Rinse,0
9,   P-20972,   2022/05/04 12:06:30,           1-01,9,-7.507,-59.777,18871,0,1,                                        ,                                        ,                 H2O,1651687897,0.32,0.757,78.295,0.001,0.002,1.861,1320.514,1.426,3.021,115.011,0.88,0.353,0,0,1,43.188,1,1,1, GJB_Rinse,0
10,   P-20972,   2022/05/04 12:15:27,           1-01,10,-7.44,-59.537,19099,0,1,                                        ,                                        ,                 H2O,1651688434,0.311,0.783,76.233,0.001,0.004,1.801,1322.917,1.121,3.051,116.783,0.881,0.294,0,0,1,43.25,1,1,1, GJB_Rinse,0
