"Line","Analysis","Time.Code","Port","Inj.Nr","d.18_16.Mean","d.D_H.Mean","H2O_Mean","Ignore","Good","Identifier.1","Identifier.2","Gas.Configuration","Timestamp.Mean","d.18_16._SD","d.D_H._SD","H2O_SD","d.18_16._Sl","d.D_H._Sl","H2O_Sl","baseline_shift","slope_shift","residuals","baseline_curvature","interval","ch4_ppm","h16od_adjust","h16od_shift","n2_flag","DAS.Temp","Tray","Sample","Job","Method","Error.Code"
1,"   P-19703","   2022/05/06 09:38:49","           1-01",1,-9.28,-69.503,12774,-1,1,"EV","standard","                 H2O",1651851834.88,0.221,0.868,63.852,0,-0.002,1.577,69.656,29.1,2.167,65.051,0.855,-0.969,0,0,1,43.5,1,1,1," GJB_Rinse",0
2,"   P-19703","   2022/05/06 09:47:45","           1-01",2,-9.187,-68.842,12873,-1,1,"EV","standard","                 H2O",1651852370.65,0.196,0.776,64.213,0.001,-0.001,1.584,74.195,29.684,2.185,65.198,0.856,-1.023,0,0,1,43.125,1,1,1," GJB_Rinse",0
3,"   P-19703","   2022/05/06 09:56:40","           1-01",3,-9.169,-68.384,12854,-1,1,"EV","standard","                 H2O",1651852905.21,0.209,0.713,60.528,0.001,-0.004,1.486,73.767,29.559,2.173,65.697,0.856,-0.972,0,0,1,43,1,1,1," GJB_Rinse",0
4,"   P-19703","   2022/05/06 10:05:36","           1-01",4,-9.157,-68.187,12868,0,1,"EV","standard","                 H2O",1651853442,0.19,0.764,60.784,0.001,-0.002,1.504,73.338,29.544,2.174,64.995,0.855,-1.05,0,0,1,42.875,1,1,1," GJB_Rinse",0
5,"   P-19703","   2022/05/06 10:14:33","           1-01",5,-9.104,-67.863,12915,0,1,"EV","standard","                 H2O",1651853978.27,0.194,0.751,65.071,0.001,-0.001,1.598,72.992,29.441,2.198,66.067,0.856,-0.927,0,0,1,42.938,1,1,1," GJB_Rinse",0
6,"   P-19703","   2022/05/06 10:23:29","           1-01",6,-9.136,-67.903,12882,0,1,"EV","standard","                 H2O",1651854515.51,0.193,0.786,59.956,0.001,-0.003,1.471,72.372,29.531,2.178,65.678,0.856,-0.995,0,0,1,42.938,1,1,1," GJB_Rinse",0
7,"   P-19703","   2022/05/06 10:32:27","           1-01",7,-9.101,-67.973,12877,0,1,"EV","standard","                 H2O",1651855052.03,0.185,0.731,61.261,0.001,0.002,1.505,71.642,29.377,2.179,66.202,0.856,-0.875,0,0,1,43.062,1,1,1," GJB_Rinse",0
8,"   P-19703","   2022/05/06 10:41:22","           1-01",8,-9.141,-67.883,12899,0,1,"EV","standard","                 H2O",1651855587.95,0.198,0.743,60.192,0.001,0,1.479,71.328,29.621,2.191,65.605,0.856,-1.038,0,0,1,43.125,1,1,1," GJB_Rinse",0
9,"   P-19703","   2022/05/06 10:50:19","           1-01",9,-9.108,-67.646,12902,0,1,"EV","standard","                 H2O",1651856124.62,0.208,0.749,60.222,0.001,-0.002,1.478,70.893,29.64,2.185,65.27,0.855,-1.107,0,0,1,43.312,1,1,1," GJB_Rinse",0
10,"   P-19703","   2022/05/06 10:59:16","           1-01",10,-9.102,-67.753,12908,0,1,"EV","standard","                 H2O",1651856661.89,0.195,0.811,62.81,0.001,-0.001,1.544,70.473,29.879,2.191,65.723,0.855,-0.906,0,0,1,43.438,1,1,1," GJB_Rinse",0
11,"   P-19704","   2022/05/06 11:09:05","           1-02",1,2.251,9.338,12811,-1,1,"PZ","standard","                 H2O",1651857250.54,0.209,0.823,61.98,0,0,1.523,68.605,29.847,2.279,66.591,0.856,-1.123,0,0,1,43.25,1,2,1," GJB_Rinse",0
12,"   P-19704","   2022/05/06 11:18:02","           1-02",2,2.643,15.707,12832,-1,1,"PZ","standard","                 H2O",1651857786.9,0.217,0.822,62.827,0,-0.002,1.541,69.876,29.727,2.295,66.448,0.855,-1.224,0,0,1,43.062,1,2,1," GJB_Rinse",0
13,"   P-19704","   2022/05/06 11:26:58","           1-02",3,2.704,17.493,12893,-1,1,"PZ","standard","                 H2O",1651858323.76,0.206,0.882,63.068,0,-0.004,1.551,69.314,29.867,2.317,68.577,0.855,-0.9,0,0,1,43.125,1,2,1," GJB_Rinse",0
14,"   P-19704","   2022/05/06 11:35:56","           1-02",4,2.775,18.145,12890,0,1,"PZ","standard","                 H2O",1651858861.33,0.206,0.904,58.088,0,-0.006,1.425,69.331,29.88,2.323,68.532,0.856,-0.976,0,0,1,43.125,1,2,1," GJB_Rinse",0
15,"   P-19704","   2022/05/06 11:44:51","           1-02",5,2.835,18.667,12888,0,1,"PZ","standard","                 H2O",1651859397.01,0.199,0.855,58.285,0.001,-0.003,1.428,69.196,30.086,2.315,67.496,0.856,-1.026,0,0,1,43.125,1,2,1," GJB_Rinse",0
16,"   P-19704","   2022/05/06 11:53:47","           1-02",6,2.821,18.973,12892,0,1,"PZ","standard","                 H2O",1651859932.96,0.22,0.863,60.081,0.001,-0.005,1.476,69.166,30.113,2.318,66.557,0.855,-1.231,0,0,1,43.188,1,2,1," GJB_Rinse",0
17,"   P-19704","   2022/05/06 12:02:44","           1-02",7,2.86,19.152,12863,0,1,"PZ","standard","                 H2O",1651860469.62,0.204,0.758,56.348,0.001,-0.004,1.39,69.008,29.835,2.313,68.145,0.856,-1.159,0,0,1,43.25,1,2,1," GJB_Rinse",0
18,"   P-19704","   2022/05/06 12:11:39","           1-02",8,2.863,19.669,12835,0,1,"PZ","standard","                 H2O",1651861005.01,0.191,0.79,63.081,0.001,-0.002,1.563,68.776,29.719,2.321,68.367,0.856,-1.119,0,0,1,43.312,1,2,1," GJB_Rinse",0
19,"   P-19704","   2022/05/06 12:20:36","           1-02",9,2.854,19.632,12823,0,1,"PZ","standard","                 H2O",1651861540.88,0.196,0.762,60.931,0.001,-0.004,1.504,68.737,30.09,2.302,66.538,0.856,-1.277,0,0,1,43.312,1,2,1," GJB_Rinse",0
20,"   P-19704","   2022/05/06 12:29:33","           1-02",10,2.85,19.514,12882,0,1,"PZ","standard","                 H2O",1651862078.25,0.211,0.868,59.227,0.001,-0.001,1.452,68.82,29.83,2.315,67.601,0.856,-1.117,0,0,1,43.375,1,2,1," GJB_Rinse",0
