"Line","Analysis","Time.Code","Port","Inj.Nr","d.18_16.Mean","d.D_H.Mean","H2O_Mean","Ignore","Good","Identifier.1","Identifier.2","Gas.Configuration","Timestamp.Mean","d.18_16._SD","d.D_H._SD","H2O_SD","d.18_16._Sl","d.D_H._Sl","H2O_Sl","baseline_shift","slope_shift","residuals","baseline_curvature","interval","ch4_ppm","h16od_adjust","h16od_shift","n2_flag","DAS.Temp","Tray","Sample","Job","Method","Error.Code"
1,"   P-21682","   2022/10/07 11:26:51","           1-01",1,-9.507,-73.212,13408,-1,1,"EV","standard","                 H2O",1665163917.18,0.225,0.82,69.914,0.002,0,1.715,70.541,30.488,2.269,67,0.856,-0.963,0,0,1,42.188,1,1,1," GJB_Rinse",0
2,"   P-21682","   2022/10/07 11:35:48","           1-01",2,-8.965,-68.656,12886,-1,1,"EV","standard","                 H2O",1665164454.03,0.178,0.795,68.194,0.001,-0.001,1.678,77.815,28.945,2.187,64.673,0.856,-1.001,0,0,1,41.688,1,1,1," GJB_Rinse",0
3,"   P-21682","   2022/10/07 11:44:44","           1-01",3,-8.898,-67.64,13386,-1,1,"EV","standard","                 H2O",1665164989.72,0.204,0.793,71.338,0.002,-0.001,1.754,84.308,29.978,2.264,66.201,0.856,-1.093,0,0,1,41.625,1,1,1," GJB_Rinse",0
4,"   P-21682","   2022/10/07 11:53:40","           1-01",4,-8.968,-67.53,12596,0,1,"EV","standard","                 H2O",1665165526.14,0.202,0.775,64.502,0.001,0,1.595,67.347,28.458,2.139,63.391,0.856,-1.059,0,0,1,41.5,1,1,1," GJB_Rinse",0
5,"   P-21682","   2022/10/07 12:02:36","           1-01",5,-9.03,-67.448,12563,0,1,"EV","standard","                 H2O",1665166062.1,0.192,0.86,65.415,0,0,1.619,63.385,28.323,2.148,63.621,0.856,-1.066,0,0,1,41.625,1,1,1," GJB_Rinse",0
6,"   P-21682","   2022/10/07 12:11:33","           1-01",6,-9.053,-67.397,12592,0,1,"EV","standard","                 H2O",1665166599.28,0.213,0.665,60.818,0.001,-0.003,1.494,62.335,28.708,2.15,63.296,0.856,-1.159,0,0,1,41.625,1,1,1," GJB_Rinse",0
7,"   P-21682","   2022/10/07 12:20:30","           1-01",7,-9.033,-67.483,12541,0,1,"EV","standard","                 H2O",1665167135.3,0.214,0.817,60.058,0.001,-0.003,1.486,61.751,28.618,2.13,63.228,0.856,-1.034,0,0,1,41.688,1,1,1," GJB_Rinse",0
8,"   P-21682","   2022/10/07 12:29:26","           1-01",8,-9.06,-67.457,12661,0,1,"EV","standard","                 H2O",1665167671.15,0.204,0.75,64.516,0.001,0.002,1.597,61.805,28.843,2.166,63.98,0.856,-1.016,0,0,1,41.812,1,1,1," GJB_Rinse",0
9,"   P-21682","   2022/10/07 12:38:22","           1-01",9,-9.035,-67.144,12649,0,1,"EV","standard","                 H2O",1665168207.21,0.211,0.8,69.4,0.001,-0.001,1.716,61.225,28.719,2.173,63.777,0.856,-0.955,0,0,1,41.75,1,1,1," GJB_Rinse",0
10,"   P-21682","   2022/10/07 12:47:18","           1-01",10,-9.001,-67.217,12544,0,1,"EV","standard","                 H2O",1665168743.6,0.213,0.895,63.907,0.001,0.003,1.571,60.791,28.812,2.111,61.932,0.856,-1.397,0,0,1,41.812,1,1,1," GJB_Rinse",0
