"Line","Analysis","Time.Code","Port","Inj.Nr","d.18_16.Mean","d.D_H.Mean","H2O_Mean","Ignore","Good","Identifier.1","Identifier.2","Gas.Configuration","Timestamp.Mean","d.18_16._SD","d.D_H._SD","H2O_SD","d.18_16._Sl","d.D_H._Sl","H2O_Sl","baseline_shift","slope_shift","residuals","baseline_curvature","interval","ch4_ppm","h16od_adjust","h16od_shift","n2_flag","DAS.Temp","Tray","Sample","Job","Method","Error.Code"
1,"   P-21884","   2022/10/25 13:40:52","           1-01",1,-9.848,-74.959,14926,-1,1,"EV","standard","                 H2O",1666727158.09,0.189,0.726,79.887,0.001,0.003,1.929,89.53,34.617,2.471,71.021,0.857,-1.377,0,0,1,42.875,1,1,1," GJB_Rinse",0
2,"   P-21884","   2022/10/25 13:49:49","           1-01",2,-9.303,-70.238,12963,-1,1,"EV","standard","                 H2O",1666727694.53,0.197,0.8,61.352,0.001,-0.001,1.515,71.844,29.439,2.185,64.002,0.856,-1.195,0,0,1,42.125,1,1,1," GJB_Rinse",0
3,"   P-21884","   2022/10/25 13:58:45","           1-01",3,-9.084,-68.287,12618,-1,1,"EV","standard","                 H2O",1666728231.26,0.196,0.766,68.715,0.001,-0.002,1.689,58.624,28.914,2.138,64.315,0.856,-0.895,0,0,1,41.75,1,1,1," GJB_Rinse",0
4,"   P-21884","   2022/10/25 14:07:41","           1-01",4,-9.051,-67.801,12472,0,1,"EV","standard","                 H2O",1666728767.23,0.201,0.851,63.562,0.001,-0.001,1.572,57.112,28.422,2.108,62.292,0.855,-1.091,0,0,1,41.688,1,1,1," GJB_Rinse",0
5,"   P-21884","   2022/10/25 14:16:38","           1-01",5,-9.038,-67.587,12250,0,1,"EV","standard","                 H2O",1666729303.84,0.196,0.864,57.997,0.001,-0.001,1.434,56.26,27.818,2.081,62.151,0.855,-0.928,0,0,1,41.625,1,1,1," GJB_Rinse",0
6,"   P-21884","   2022/10/25 14:25:34","           1-01",6,-8.987,-67.44,12544,0,1,"EV","standard","                 H2O",1666729839.38,0.197,0.778,60.085,0.001,-0.002,1.484,56.671,28.841,2.131,62.664,0.856,-1.061,0,0,1,41.688,1,1,1," GJB_Rinse",0
7,"   P-21884","   2022/10/25 14:34:29","           1-01",7,-9,-67.263,12496,0,1,"EV","standard","                 H2O",1666730375.26,0.201,0.784,62.048,0.002,0.001,1.533,56.453,28.482,2.116,63.084,0.855,-0.901,0,0,1,41.625,1,1,1," GJB_Rinse",0
8,"   P-21884","   2022/10/25 14:43:26","           1-01",8,-8.965,-67.154,12482,0,1,"EV","standard","                 H2O",1666730911.71,0.202,0.737,60.703,0.001,-0.003,1.5,56.355,28.655,2.126,62.959,0.856,-1.048,0,0,1,41.812,1,1,1," GJB_Rinse",0
9,"   P-21884","   2022/10/25 14:52:22","           1-01",9,-9.022,-67.052,12489,0,1,"EV","standard","                 H2O",1666731448.03,0.193,0.831,60.166,0.001,0.002,1.476,56.373,28.541,2.124,62.745,0.856,-1.046,0,0,1,41.812,1,1,1," GJB_Rinse",0
10,"   P-21884","   2022/10/25 15:01:19","           1-01",10,-8.989,-67.086,12450,0,1,"EV","standard","                 H2O",1666731984.1,0.187,0.735,66.019,0.001,0.001,1.634,56.174,28.46,2.121,63.498,0.856,-0.871,0,0,1,41.875,1,1,1," GJB_Rinse",0
