  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,   P-22038,   2022/11/02 12:02:24,           1-01,       1,        -9.477,       -73.413,         17071,      -1,    1,                                        ,                                        ,                 H2O, 1667412449.93,         0.173,         0.726,        82.319,         0.001,         0.004,         1.967,        67.970,        41.715,         2.842,        81.394,         0.858,        -1.169,        0.0000,        0.0000,    1,        42.562,         1,       1,       1, GJB_Rinse,       0
     2,   P-22038,   2022/11/02 12:11:21,           1-01,       2,        -9.098,       -68.500,         12940,      -1,    1,                                        ,                                        ,                 H2O, 1667412986.43,         0.204,         0.799,        69.361,         0.002,         0.002,         1.716,        57.273,        30.046,         2.199,        64.881,         0.856,        -0.958,       -0.0000,       -0.0000,    1,        42.188,         1,       1,       1, GJB_Rinse,       0
     3,   P-22038,   2022/11/02 12:20:18,           1-01,       3,        -8.988,       -67.507,         12945,      -1,    1,                                        ,                                        ,                 H2O, 1667413523.04,         0.203,         0.723,        66.669,         0.001,        -0.001,         1.634,        56.997,        29.798,         2.189,        65.151,         0.856,        -1.166,        0.0000,        0.0000,    1,        41.938,         1,       1,       1, GJB_Rinse,       0
     4,   P-22038,   2022/11/02 12:29:14,           1-01,       4,        -9.015,       -67.180,         12826,       0,    1,                                        ,                                        ,                 H2O, 1667414059.44,         0.186,         0.774,        69.139,         0.001,         0.000,         1.710,        56.485,        29.194,         2.182,        65.351,         0.855,        -0.910,       -0.0000,       -0.0000,    1,        42.000,         1,       1,       1, GJB_Rinse,       0
     5,   P-22038,   2022/11/02 12:38:10,           1-01,       5,        -8.997,       -67.239,         12874,       0,    1,                                        ,                                        ,                 H2O, 1667414595.69,         0.208,         0.888,        69.925,         0.001,         0.001,         1.718,        56.584,        29.847,         2.183,        63.807,         0.856,        -1.130,        0.0000,        0.0000,    1,        42.125,         1,       1,       1, GJB_Rinse,       0
     6,   P-22038,   2022/11/02 12:47:07,           1-01,       6,        -9.002,       -67.097,         12802,       0,    1,                                        ,                                        ,                 H2O, 1667415132.48,         0.186,         0.801,        59.822,         0.000,        -0.002,         1.469,        56.396,        29.196,         2.171,        64.981,         0.855,        -0.874,       -0.0000,       -0.0000,    1,        42.188,         1,       1,       1, GJB_Rinse,       0
     7,   P-22038,   2022/11/02 12:56:02,           1-01,       7,        -8.879,       -66.895,         13105,       0,    1,                                        ,                                        ,                 H2O, 1667415668.10,         0.185,         0.799,        66.935,         0.000,         0.003,         1.644,        57.456,        30.340,         2.214,        65.310,         0.856,        -0.970,       -0.0000,       -0.0000,    1,        42.125,         1,       1,       1, GJB_Rinse,       0
     8,   P-22038,   2022/11/02 13:04:58,           1-01,       8,        -8.936,       -66.817,         12896,       0,    1,                                        ,                                        ,                 H2O, 1667416203.91,         0.214,         0.778,        61.982,         0.001,         0.002,         1.522,        57.367,        29.511,         2.184,        64.751,         0.856,        -1.067,        0.0000,        0.0000,    1,        42.062,         1,       1,       1, GJB_Rinse,       0
     9,   P-22038,   2022/11/02 13:13:53,           1-01,       9,        -8.933,       -66.703,         12987,       0,    1,                                        ,                                        ,                 H2O, 1667416738.78,         0.206,         0.739,        60.846,         0.002,         0.002,         1.516,        57.958,        29.448,         2.196,        65.679,         0.856,        -1.017,        0.0000,        0.0000,    1,        42.000,         1,       1,       1, GJB_Rinse,       0
    10,   P-22038,   2022/11/02 13:22:50,           1-01,      10,        -8.957,       -66.822,         12782,       0,    1,                                        ,                                        ,                 H2O, 1667417276.20,         0.196,         0.795,        62.873,         0.001,         0.002,         1.547,        57.410,        29.929,         2.169,        63.893,         0.856,        -1.057,       -0.0000,       -0.0000,    1,        42.188,         1,       1,       1, GJB_Rinse,       0
    11,   P-22039,   2022/11/02 13:32:38,           1-02,       1,         2.216,         8.827,         13367,      -1,    1,                                        ,                                        ,                 H2O, 1667417863.08,         0.204,         0.752,        63.617,         0.001,         0.001,         1.564,        57.863,        31.898,         2.388,        67.104,         0.856,        -1.355,        0.0000,        0.0000,    1,        42.375,         1,       2,       1, GJB_Rinse,       0
    12,   P-22039,   2022/11/02 13:41:35,           1-02,       2,         2.629,        15.113,         13121,      -1,    1,                                        ,                                        ,                 H2O, 1667418400.20,         0.222,         0.878,        63.345,         0.000,        -0.002,         1.546,        57.882,        30.480,         2.360,        68.263,         0.856,        -1.049,        0.0000,        0.0000,    1,        42.500,         1,       2,       1, GJB_Rinse,       0
    13,   P-22039,   2022/11/02 13:50:31,           1-02,       3,         2.726,        17.163,         13086,      -1,    1,                                        ,                                        ,                 H2O, 1667418937.02,         0.215,         0.775,        63.359,         0.001,        -0.005,         1.554,        58.002,        30.873,         2.358,        67.394,         0.856,        -1.180,        0.0000,        0.0000,    1,        42.562,         1,       2,       1, GJB_Rinse,       0
    14,   P-22039,   2022/11/02 13:59:28,           1-02,       4,         2.844,        18.396,         13020,       0,    1,                                        ,                                        ,                 H2O, 1667419473.59,         0.219,         0.904,        57.711,         0.000,        -0.007,         1.415,        57.706,        30.159,         2.344,        68.535,         0.856,        -0.895,       -0.0000,       -0.0000,    1,        42.438,         1,       2,       1, GJB_Rinse,       0
    15,   P-22039,   2022/11/02 14:08:25,           1-02,       5,         2.864,        18.762,         13071,       0,    1,                                        ,                                        ,                 H2O, 1667420009.96,         0.192,         0.775,        64.667,         0.000,        -0.000,         1.601,        58.424,        30.273,         2.358,        68.126,         0.856,        -1.118,        0.0000,        0.0000,    1,        42.250,         1,       2,       1, GJB_Rinse,       0
    16,   P-22039,   2022/11/02 14:17:21,           1-02,       6,         2.874,        19.312,         13016,       0,    1,                                        ,                                        ,                 H2O, 1667420546.15,         0.213,         0.949,        58.874,         0.001,         0.000,         1.452,        57.902,        30.810,         2.355,        65.948,         0.856,        -1.309,       -0.0000,       -0.0000,    1,        42.312,         1,       2,       1, GJB_Rinse,       0
    17,   P-22039,   2022/11/02 14:26:18,           1-02,       7,         2.848,        19.144,         13202,       0,    1,                                        ,                                        ,                 H2O, 1667421083.63,         0.184,         0.865,        62.611,         0.000,        -0.004,         1.536,        61.043,        30.745,         2.375,        68.463,         0.856,        -1.114,        0.0000,        0.0000,    1,        42.438,         1,       2,       1, GJB_Rinse,       0
    18,   P-22039,   2022/11/02 14:35:14,           1-02,       8,         2.869,        19.322,         13258,       0,    1,                                        ,                                        ,                 H2O, 1667421619.75,         0.218,         0.897,        65.535,         0.001,        -0.001,         1.599,        60.536,        31.263,         2.395,        68.599,         0.855,        -1.003,        0.0000,        0.0000,    1,        42.625,         1,       2,       1, GJB_Rinse,       0
    19,   P-22039,   2022/11/02 14:44:11,           1-02,       9,         2.964,        20.028,         13111,       0,    1,                                        ,                                        ,                 H2O, 1667422156.08,         0.201,         0.845,        62.268,         0.000,        -0.003,         1.525,        59.379,        30.661,         2.360,        67.349,         0.856,        -1.179,        0.0000,        0.0000,    1,        42.438,         1,       2,       1, GJB_Rinse,       0
    20,   P-22039,   2022/11/02 14:53:07,           1-02,      10,         2.936,        20.151,         12902,       0,    1,                                        ,                                        ,                 H2O, 1667422692.70,         0.201,         0.802,        62.317,         0.002,        -0.001,         1.540,        57.263,        30.078,         2.319,        66.730,         0.856,        -1.063,       -0.0000,       -0.0000,    1,        42.375,         1,       2,       1, GJB_Rinse,       0
