"Line","Analysis","Time.Code","Port","Inj.Nr","d.18_16.Mean","d.D_H.Mean","H2O_Mean","Ignore","Good","Identifier.1","Identifier.2","Gas.Configuration","Timestamp.Mean","d.18_16._SD","d.D_H._SD","H2O_SD","d.18_16._Sl","d.D_H._Sl","H2O_Sl","baseline_shift","slope_shift","residuals","baseline_curvature","interval","ch4_ppm","h16od_adjust","h16od_shift","n2_flag","DAS.Temp","Tray","Sample","Job","Method","Error.Code"
1,"    P-3264","   2023/03/07 10:39:15","           2-01",1,NA,NA,NA,NA,NA,"EV","standard","                 H2O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1," GJB_Rinse",0
2,"    P-3264","   2023/03/07 10:49:17","           2-01",2,-8.269,-69.993,20029,-1,1,"EV","standard","                 H2O",1678186457.42,0.302,0.834,100.297,-0.001,-0.005,2.385,1326.831,0.622,3.279,124.225,0.865,0.349,0,0,1,42.125,2,1,1," GJB_Rinse",0
3,"    P-3264","   2023/03/07 10:58:14","           2-01",3,-7.776,-63.443,19562,-1,1,"EV","standard","                 H2O",1678186996.04,0.31,0.736,102.289,0.001,-0.006,2.408,1323.183,0.562,3.18,121.962,0.864,0.409,0,0,1,41.75,2,1,1," GJB_Rinse",0
4,"    P-3264","   2023/03/07 11:07:11","           2-01",4,-7.645,-61.918,19487,0,1,"EV","standard","                 H2O",1678187532.2,0.282,0.667,103.056,0.001,-0.001,2.41,1325.37,0.725,3.099,119.51,0.865,0.143,0,0,1,41.812,2,1,1," GJB_Rinse",0
5,"    P-3264","   2023/03/07 11:16:07","           2-01",5,-7.687,-62.121,20197,0,1,"EV","standard","                 H2O",1678188067.91,0.295,0.693,104.111,0.002,0.001,2.461,1350.596,-0.293,3.191,124.352,0.866,0.249,0,0,1,41.875,2,1,1," GJB_Rinse",0
6,"    P-3264","   2023/03/07 11:25:04","           2-01",6,-7.746,-62.749,20740,0,1,"EV","standard","                 H2O",1678188605.58,0.32,0.66,103.133,0,-0.001,2.411,1380.929,-0.434,3.288,126.16,0.869,0.23,0,0,1,41.625,2,1,1," GJB_Rinse",0
7,"    P-3264","   2023/03/07 11:34:00","           2-01",7,-7.842,-63.065,21113,0,1,"EV","standard","                 H2O",1678189141.83,0.353,0.733,106.264,0.002,0,2.495,1400.53,-1.076,3.423,129.712,0.866,0.515,0,0,1,41.875,2,1,1," GJB_Rinse",0
8,"    P-3264","   2023/03/07 11:42:58","           2-01",8,-7.631,-61.505,19408,0,1,"EV","standard","                 H2O",1678189679.11,0.282,0.661,101.847,0.001,0,2.397,1335.61,0.682,3.12,118.568,0.869,0.265,0,0,1,41.938,2,1,1," GJB_Rinse",0
9,"    P-3264","   2023/03/07 11:51:54","           2-01",9,-7.593,-61.011,19023,0,1,"EV","standard","                 H2O",1678190215.25,0.347,0.77,100.586,0,0.003,2.381,1329.146,0.684,3.059,116.814,0.87,0.387,0,0,1,42.062,2,1,1," GJB_Rinse",0
10,"    P-3264","   2023/03/07 12:00:51","           2-01",10,-7.501,-60.423,18988,0,1,"EV","standard","                 H2O",1678190753.3,0.3,0.736,98.409,0,-0.003,2.31,1317.937,1.338,2.983,115.306,0.872,0.208,0,0,1,42.188,2,1,1," GJB_Rinse",0
