Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,4-15-21 TRU S5,ARIZONA
1,6,5-13-21 BOU S45,ARIZONA
1,7,2-13-21 PAN S45,ARIZONA
1,8,5-11-21 PIN S2I,ARIZONA
1,9,5-13-21 BSU S20,ARIZONA
1,10,5-11-21 TUS S5,ARIZONA
1,11,8-18-21 BOU S21,ARIZONA
1,12,5-13-21 PAN S5,ARIZONA
1,13,EV,standard
1,14,5-11-21 PIN S5,ARIZONA
1,15,5-14-21 SEV S45,ARIZONA
1,16,6-6-19 3-15,ARIZONA
1,17,5-13-21 PAN S20,ARIZONA
1,18,4-16-21 COC S5,ARIZONA
1,19,8-11-21 TRU S45,ARIZONA
1,20,YELL2-A-4,21-071
1,21,YELL2-B-3,21-071
1,22,EV,standard
1,23,YELL2-A-2,21-071
1,24,YELL2-E-4,21-071
1,25,YELL2-A-3,21-071
1,26,YELL2-B-1,21-071
1,27,YELL2-B-4,21-071
1,28,YELL2-A-1,21-071
1,29,YELL2-E-3,21-071
1,30,YELL2-C-1,21-071
1,31,EV,standard
1,32,YELL2-D-4,21-071
1,33,YELL2-D-2,21-071
1,34,YELL2-B-2,21-071
1,35,YELL2-C-4,21-071
1,36,YELL2-E-1,21-071
1,37,YELL2-D-1,21-071
1,38,YELL2-C-3,21-071
1,39,YELL2-1020-2,21-071
1,40,EV,standard
1,41,YELL2-010-3,21-071
1,42,YELL2-C-2,21-071
1,43,YELL2-E-2,21-071
1,44,YELL2-010-2,21-071
1,45,YELL2-2030-1,21-071
1,46,YELL2-D-3,21-071
1,47,YELL2-1020-3,21-071
1,48,YELL2-010-1,21-071
1,49,EV,standard
