Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,UNDE3-A-3,21-267
1,6,UNDE3-2030-2,21-267
1,7,UNDE3-1020-1,21-267
1,8,UNDE3-1020-2,21-267
1,9,UNDE3-deep-3,21-267
1,10,UNDE3-3040-3,21-267
1,11,UNDE2-E-5,21-267
1,12,UNDE3-E-5,21-267
1,13,EV,standard
1,14,UNDE3-3040-2,21-267
1,15,UNDE3-D-1,21-267
1,16,UNDE3-2030-3,21-267
1,17,UNDE3-010-1,21-267
1,18,UNDE3-2030-1,21-267
1,19,UNDE3-C-4,21-267
1,20,UNDE3-D-5,21-267
1,21,UNDE3-D-2,21-267
1,22,EV,standard
1,23,UNDE3-E-3,21-267
1,24,UNDE3-E-4,21-267
1,25,UNDE3-D-3,21-267
1,26,UNDE3-3040-1,21-267
1,27,A00000291804,22-098
1,28,A00000291697,22-098
1,29,A00000291705,22-098
1,30,A00000291453,22-098
1,31,EV,standard
1,32,A00000291695,22-098
1,33,A00000291427,22-098
1,34,A00000291444,22-098
1,35,A00000291508,22-098
1,36,A00000291688,22-098
1,37,A00000291454,22-098
1,38,A00000291531,22-098
1,39,A00000291525,22-098
1,40,EV,standard
1,41,A00000291678,22-098
1,42,A00000274001,22-098
1,43,A00000273994,22-098
1,44,A00000274032,22-098
1,45,A00000274017,22-098
1,46,A00000273995,22-098
1,47,A00000273996,22-098
1,48,A00000274014,22-098
1,49,EV,standard
1,50,A00000282427,22-098
1,51,A00000274044,22-098
1,52,A00000274013,22-098
1,53,A00000282590,22-098
1,54,A00000274041,22-098
1,55,A00000274012,22-098
1,56,EV,standard
