Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,SCBI3-1020-2,21-072
1,6,SCBI3-1020-1,21-072
1,7,SCBI3-C-3,21-072
1,8,SCBI3-2030-1,21-072
1,9,SCBI3-2030-3,21-072
1,10,SCBI3-010-1,21-072
1,11,SCBI3-deep-3,21-072
1,12,SCBI3-3040-3,21-072
1,13,EV,standard
1,14,SCBI3-3040-1,21-072
1,15,SCBI3-C-5,21-072
1,16,SCBI3-D-1,21-072
1,17,SCBI3-C-4,21-072
1,18,SCBI3-2030-2,21-072
1,19,SCBI3-1020-3,21-072
1,20,SCBI3-3040-2,21-072
1,21,SCBI3-010-2,21-072
1,22,EV,standard
1,23,SCBI3-010-3,21-072
1,24,SCBI3-B-4,21-072
1,25,SCBI3-C-2,21-072
1,26,SCBI3-D-2,21-072
1,27,SCBI3-C-1,21-072
1,28,SCBI3-B-5,21-072
1,29,SCBI3-A-2,21-072
1,30,SCBI3-A-1,21-072
1,31,EV,standard
1,32,SCBI3-deep-2,21-072
1,33,SCBI3-B-1,21-072
1,34,SCBI3-B-2,21-072
1,35,SCBI3-A-5,21-072
1,36,SCBI3-D-3,21-072
1,37,SCBI3-D-5,21-072
1,38,SCBI3-A-3,21-072
1,39,SCBI3-B-3,21-072
1,40,EV,standard
1,41,SCBI3-A-4,21-072
1,42,SCBI3-D-4,21-072
1,43,EV,standard
