Tray,Vial,Description,Identifier 2
1,1,EV,standard
1,2,PZ,standard
1,3,UT2,standard
1,4,EV,standard
1,5,WOOD3-1020-1,22-036
1,6,WOOD3-2030-2,22-036
1,7,WOOD3-3040-2,22-036
1,8,WOOD3-010-2,22-036
1,9,WOOD3-deep-3,22-036
1,10,WOOD3-deep-2,22-036
1,11,WOOD3-1020-2,22-036
1,12,WOOD3-2030-3,22-036
1,13,EV,standard
1,14,WOOD3-2030-1,22-036
1,15,WOOD3-010-1,22-036
1,16,WOOD3-010-3,22-036
1,17,WOOD3-3040-1,22-036
1,18,WOOD3-deep-1,22-036
1,19,WOOD3-1020-3,22-036
1,20,WOOD3-3040-3,22-036
1,21,YELL5-010-3,22-155
1,22,EV,standard
1,23,YELL5-2030-2,22-155
1,24,YELL5-1020-3,22-155
1,25,YELL5-010-2,22-155
1,26,YELL5-1020-1,22-155
1,27,YELL5-1020-2,22-155
1,28,YELL5-A-4,22-155
1,29,YELL5-A-1,22-155
1,30,YELL5-2030-1,22-155
1,31,EV,standard
1,32,YELL5-B-5,22-155
1,33,YELL5-010-1,22-155
1,34,YELL5-E-3,22-155
1,35,YELL5-C-4,22-155
1,36,YELL5-D-5,22-155
1,37,YELL5-E-1,22-155
1,38,YELL5-B-3,22-155
1,39,YELL5-B-1,22-155
1,40,EV,standard
1,41,YELL5-C-1,22-155
1,42,YELL5-B-2,22-155
1,43,YELL5-D-4,22-155
1,44,YELL5-A-2,22-155
1,45,YELL5-A-3,22-155
1,46,YELL5-A-5,22-155
1,47,YELL5-D-3,22-155
1,48,YELL5-E-2,22-155
1,49,EV,standard
1,50,YELL5-C-3,22-155
1,51,YELL5-C-2,22-155
1,52,YELL5-E-5,22-155
1,53,YELL5-D-1,22-155
1,54,YELL5-B-4,22-155
1,55,YELL5-C-5,22-155
1,56,YELL5-D-2,22-155
1,57,YELL5-E-4,22-155
1,58,EV,standard
1,59,192,22-216
1,60,HARV3-C-5,22-035
1,61,EV,standard
