"Sample_ID","Site_ID","Site_Name","Latitude","Longitude","Elevation","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Dex","d2H.irms","d18O.irms","BaseShift","SlopeShift","Residuals","BaseCurve","CH4","Instrument","d18O.off","d18O.off.se","d2H.off","d2H.off.se","d18O.oc","d2H.oc"
"22-157_SCBI5-A-2","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Liriodendron tulipifera",-45.4328026074,-5.2166920948,NA,0.400034825373109,0.0554369832850895,NA,"SPATIAL",384,"SCBI5",-3.699265849,-44,-7,870.92835,-35.17695,0.0444499999999999,-2.70295000000002,-2.0827,"HIDS2052",1.92607132645229,0.087390888136857,3.98539485327358,0.549524664415499,-7.14276342125229,-49.4181974606736
"22-157_SCBI5-A-3","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Liriodendron tulipifera",-45.822379118,-5.1686681986,NA,0.420625842557324,0.0586345813416439,NA,"SPATIAL",384,"SCBI5",-4.4730335292,-51,-7,1020.2471,-40.7122,0.0391999999999997,-4.59745000000001,-2.18695,"HIDS2052",1.85353042517571,0.105781300468233,4.91255017797212,0.59509872940222,-7.02219862377571,-50.7349292959721
"22-157_SCBI5-B-3","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Quercus rubra",-51.9392318102,-6.8204906254,NA,0.427994035336523,0.0551768299171701,NA,"SPATIAL",384,"SCBI5",2.624693193,-50,-7.3,11.2978500000002,-1.2032,0.0501999999999998,2.00004999999999,-0.13945,"HIDS2052",0.54160106215773,0.0579175599662233,-0.311361924945525,0.553298541156584,-7.36209168755773,-51.6278698852545
"22-157_SCBI5-C-4","SCBI_tower","Smithsonian Conservation Biology Institute NEON",38.892925,-78.139494,352,"Stem","2021-08-30 00:00:00",NA,"2021-08-30 00:00:00",4,NA,NA,"Quercus alba",-35.3246497099,-3.6829073845,NA,0.493769712398417,0.0737195191371007,NA,"SPATIAL",384,"SCBI5",-5.8613906339,-42,-4.8,873.9811,-34.18945,-0.0310500000000005,-4.4632,-1.6757,"HIDS2052",1.19985507616152,0.0919939701334662,3.04652640910557,0.518022451014368,-4.88276246066152,-38.3711761190056
"22-251_WOOD7-B-1","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-10-26 00:00:00",NA,"2021-10-26 00:00:00",6,NA,NA,"Medicago sativa",-82.0557673183,-8.4594036275,NA,0.432697344190271,0.0422117276323915,NA,"SPATIAL",384,"WOOD7",-14.3805382983,-80,-9.5,0.51905,-1.97475,-0.0274000000000001,-0.987549999999999,-0.27325,"HIDS2046",0.528039249107102,0.0576218411777126,-0.289505576859423,0.552353565919252,-8.9874428766071,-81.7662617414406
"22-251_WOOD7-B-2","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-10-27 00:00:00",NA,"2021-10-27 00:00:00",6,NA,NA,"Medicago sativa",-53.3208817384,6.8996258217,NA,0.395918076519791,0.0927216004297365,NA,"SPATIAL",384,"WOOD7",-108.517888312,-81,-10.7,672.5488,-40.95875,2.6501,-3.9893,-8.75475,"HIDS2046",17.5631567913314,0.233297819263976,20.7573901554481,2.03890581138308,-10.6635309696314,-74.0782718938481
"22-251_WOOD7-B-5","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-10-30 00:00:00",NA,"2021-10-30 00:00:00",6,NA,NA,"Medicago sativa",-87.8464748447,-9.9301088402,NA,0.402990989896709,0.0429401006544376,NA,"SPATIAL",384,"WOOD7",-8.40560412309999,-88,-11.6,0.532550000000001,-0.54025,-0.0313999999999997,-1.01205,-0.19225,"HIDS2046",0.412808909038466,0.0573991966322915,-0.315119520076652,0.553461793607586,-10.3429177492385,-87.5313553246233
"22-251_WOOD7-C-2","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-11-01 00:00:00",NA,"2021-11-01 00:00:00",6,NA,NA,"Bromus inermis",-84.764223204,-9.6740278829,NA,0.403353560679827,0.0409437165314024,NA,"SPATIAL",384,"WOOD7",-7.3720001408,-84,-10.9,0.980800000000002,-1.21075,-0.0536499999999998,-1.43405,-0.1625,"HIDS2046",0.31614341003641,0.0577583922695341,-0.309659532396745,0.553224655202767,-9.99017129293641,-84.4545636716033
"22-251_WOOD7-C-4","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-11-03 00:00:00",NA,"2021-11-03 00:00:00",6,NA,NA,"Bromus inermis",-87.71880496,-9.9953609429,NA,0.409401270668714,0.0457345189401891,NA,"SPATIAL",384,"WOOD7",-7.7559174168,-80,-10.8,0.109550000000006,-1.19525,-0.0511499999999998,-1.1093,-0.1155,"HIDS2046",0.262896649128019,0.0576694622671761,-0.313109829044139,0.553374451803377,-10.258257592028,-87.4056951309559
"22-251_WOOD7-C-5","WOOD_tower","Chase Lake National Wildlife Refuge NEON",47.1282,-99.241334,591,"Stem","2021-11-04 00:00:00",NA,"2021-11-04 00:00:00",6,NA,NA,"Bromus inermis",-80.9496882928,-9.5993893646,NA,0.424527205926646,0.0424808326236544,NA,"SPATIAL",384,"WOOD7",-4.154573376,-84,-10.7,1.0393,-0.21125,0.00159999999999982,0.480200000000004,0.00324999999999998,"HIDS2046",0.244437447317475,0.0586691771631853,-0.321265259028084,0.553729299708742,-9.84382681191748,-80.6284230337719
