"Sample_ID","Site_ID","Site_Name","Latitude","Longitude","Elevation","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Dex","BaseShift","SlopeShift","Residuals","BaseCurve","CH4","Instrument","d18O.off","d18O.off.pw","d2H.off","d2H.off.pw","d18O.oc","d2H.oc"
"20-196_CPER1-010-2","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Soil","",NA,"2020-08-14 00:00:00",6,NA,0.05,"no depth info given",-74.7501463699,-4.2018318182,NA,0.103644660104854,0.0236545168056367,NA,"SPATIAL",384,"CPER1",-41.1354918243,-0.487200000000001,-0.667550000000002,-0.0482499999999999,-1.0003,-0.0138,"HIDS2046",0.139513195311014,0.741674499640454,-0.320683380816567,8.36237503011048,-4.34134501351101,-74.4294629890834
"20-196_CPER1-010-3","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Soil","",NA,"2020-08-14 00:00:00",6,NA,0.05,"no depth info given",-76.5851754898,-3.0081617998,NA,0.0783582795197609,0.0261318951300719,NA,"SPATIAL",384,"CPER1",-52.5198810914,0.0475500000000011,0.229949999999999,-0.00450000000000017,0.281949999999995,-0.00280000000000014,"HIDS2046",0.237774935642756,0.741855568887913,-0.321262748847703,8.36238169345489,-3.24593673544276,-76.2639127409523
"20-196_CPER1-1020-3","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Soil","",NA,"2020-08-14 00:00:00",6,NA,0.15,"no depth info given",-80.9868742232,-4.2454402633,NA,0.0488455964670768,0.0175317435799714,NA,"SPATIAL",384,"CPER1",-47.0233521168,-0.220950000000002,-0.47955,-0.0302500000000001,-0.143300000000004,0.0771999999999999,"HIDS2046",0.0679303956650087,0.741976996603952,-0.323401120976076,8.36240630212289,-4.31337065896501,-80.6634731022239
"20-196_CPER1-2030-1","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Soil","",NA,"2020-08-14 00:00:00",6,NA,0.25,"no depth info given",-86.2158172342,-6.2576187485,NA,0.217541133082179,0.018617250561014,NA,"SPATIAL",384,"CPER1",-36.1548672462,-3.20595000000002,-4.8498,-0.30475,-7.13555,0.07195,"HIDS2046",-0.631626136249688,0.746616148999223,-0.341736818147137,8.36261828902705,-5.62599261225031,-85.8740804160529
"20-196_CPER1-2030-2","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Soil","",NA,"2020-08-14 00:00:00",6,NA,0.25,"no depth info given",-90.3449248095,-6.6891060989,NA,0.0333940767465807,0.0601991584664074,NA,"SPATIAL",384,"CPER1",-36.8320760183,0.0537999999999954,-0.291799999999999,-0.0335000000000001,-0.654800000000009,-0.0123,"HIDS2046",0.175032218957789,0.741682428330174,-0.321013920475708,8.36237883145163,-6.86413831785779,-90.0239108890243
"20-196_CPER1-2030-3","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Soil","",NA,"2020-08-14 00:00:00",6,NA,0.25,"no depth info given",-87.338621755,-6.9007145626,NA,0.140964940939601,0.02187026406082,NA,"SPATIAL",384,"CPER1",-32.1329052542,-0.31495000000001,-0.378550000000001,-0.0422500000000001,-0.743549999999999,0.0359499999999999,"HIDS2046",0.090406818309209,0.74178423620391,-0.322024870972264,8.36239046132607,-6.99112138090921,-87.0165968840277
"20-196_CPER1-3040-1","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Soil","",NA,"2020-08-14 00:00:00",6,NA,0.35,"no depth info given",-90.7914032185,-5.4071100773,NA,0.0334050548280791,0.0230564205415269,NA,"SPATIAL",384,"CPER1",-47.5345226001,-0.130700000000004,-0.230800000000002,-0.0380000000000003,-0.454300000000003,0.00544999999999995,"HIDS2046",0.140649397133746,0.741716105878912,-0.321298841599984,8.3623821086175,-5.54775947443375,-90.4701043769
"20-196_CPER1-3040-3","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Soil","",NA,"2020-08-14 00:00:00",6,NA,0.35,"no depth info given",-92.6303137377,-8.4794351679,NA,0.174878373117315,0.0222763325291156,NA,"SPATIAL",384,"CPER1",-24.7948323945,-10.0527166666667,-0.276816666666667,-0.271816666666667,-9.48116666666667,-0.140583333333333,"HIDS2052",-0.262376219209369,0.747597011646192,-0.318937313408621,8.36235495906133,-8.21705894869063,-92.3113764242914
"20-196_CPER1-deep-1","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Soil","",NA,"2020-08-14 00:00:00",6,NA,0.67,"",-35.3162158722,-4.5035816236,NA,0.186721426814464,0.0234223941637624,NA,"SPATIAL",384,"CPER1",0.7124371166,-0.411950000000004,-0.391349999999999,0.0316000000000001,0.2744,0.00524999999999998,"HIDS2046",0.321353716050808,0.742291004814696,-0.321345675620005,8.36238264734336,-4.82493533965081,-34.99487019658
"20-196_CPER1-deep-3","CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"Soil","",NA,"2020-08-14 00:00:00",6,NA,0.54,"0.40-0.68",-76.1590434434,-3.1733365117,NA,0.0974511102773334,0.0154560731425339,NA,"SPATIAL",384,"CPER1",-50.7723513498,-0.606450000000009,-0.762050000000002,-0.0430000000000001,-0.416050000000006,0.0867,"HIDS2046",0.0231434355366265,0.741940738004415,-0.325108677022185,8.36242596999917,-3.19647994723663,-75.8339347663778
